scenario,n_agents,trial,seed,success,time_raw,cost_total,cost_per_agent,makespan,nodes,error_reason,img_path
混合长条 (1x1+1x2+2x1),6,11,2596,True,0.013268232345581055,78,13.0,17,0,,
混合长条 (1x1+1x2+2x1),6,12,76364,True,0.04909253120422363,80,13.333333333333334,19,0,,
混合长条 (1x1+1x2+2x1),6,13,67916,True,0.017566919326782227,95,15.833333333333334,24,0,,
混合长条 (1x1+1x2+2x1),6,14,16653,True,0.026812076568603516,94,15.666666666666666,36,1,,
混合长条 (1x1+1x2+2x1),6,15,90522,True,0.010037899017333984,56,9.333333333333334,15,0,,
混合长条 (1x1+1x2+2x1),6,16,84610,True,0.014987707138061523,72,12.0,24,0,,
混合长条 (1x1+1x2+2x1),6,17,94141,False,0.021915435791015625,-1,-1,-1,1,NoSolution,
混合长条 (1x1+1x2+2x1),6,18,98446,True,0.007079362869262695,61,10.166666666666666,18,0,,
混合长条 (1x1+1x2+2x1),6,19,52114,True,0.032918691635131836,82,13.666666666666666,20,10,,
混合长条 (1x1+1x2+2x1),6,20,47947,True,0.008089542388916016,70,11.666666666666666,21,0,,
混合长条 (1x1+1x2+2x1),7,1,83355,False,0.020907878875732422,-1,-1,-1,3,NoSolution,
混合长条 (1x1+1x2+2x1),7,2,80205,True,0.03678083419799805,95,13.571428571428571,26,8,,
混合长条 (1x1+1x2+2x1),7,3,83541,True,0.013431072235107422,113,16.142857142857142,37,0,,
混合长条 (1x1+1x2+2x1),7,4,88797,True,0.010970592498779297,85,12.142857142857142,18,0,,
混合长条 (1x1+1x2+2x1),7,5,27394,False,0.04167580604553223,-1,-1,-1,6,NoSolution,
混合长条 (1x1+1x2+2x1),7,6,16160,True,0.01624584197998047,96,13.714285714285714,21,0,,
混合长条 (1x1+1x2+2x1),7,7,81525,False,0.02748394012451172,-1,-1,-1,2,NoSolution,
混合长条 (1x1+1x2+2x1),7,8,34558,True,0.013948440551757812,94,13.428571428571429,25,0,,
混合长条 (1x1+1x2+2x1),7,9,29196,True,0.011378288269042969,106,15.142857142857142,25,0,,
混合长条 (1x1+1x2+2x1),7,10,24927,True,0.030556201934814453,110,15.714285714285714,23,4,,
混合长条 (1x1+1x2+2x1),7,11,10668,True,0.030738115310668945,118,16.857142857142858,28,2,,
混合长条 (1x1+1x2+2x1),7,12,73767,True,0.06864380836486816,108,15.428571428571429,28,12,,
混合长条 (1x1+1x2+2x1),7,13,54986,True,0.01647353172302246,72,10.285714285714286,18,0,,
混合长条 (1x1+1x2+2x1),7,14,49984,False,0.01761484146118164,-1,-1,-1,0,NoSolution,
混合长条 (1x1+1x2+2x1),7,15,98795,False,0.014979362487792969,-1,-1,-1,1,NoSolution,
混合长条 (1x1+1x2+2x1),7,16,12737,False,0.014807462692260742,-1,-1,-1,0,NoSolution,
混合长条 (1x1+1x2+2x1),7,17,63477,True,0.04917097091674805,97,13.857142857142858,25,12,,
混合长条 (1x1+1x2+2x1),7,18,20284,False,0.03860211372375488,-1,-1,-1,2,NoSolution,
混合长条 (1x1+1x2+2x1),7,19,48802,False,0.012910604476928711,-1,-1,-1,0,NoSolution,
混合长条 (1x1+1x2+2x1),7,20,44925,True,0.007723331451416016,82,11.714285714285714,15,0,,
混合长条 (1x1+1x2+2x1),8,1,58124,False,0.31668519973754883,-1,-1,-1,61,NoSolution,
混合长条 (1x1+1x2+2x1),8,2,78373,True,0.1539313793182373,105,13.125,25,39,,
混合长条 (1x1+1x2+2x1),8,3,67007,True,0.015411853790283203,111,13.875,22,2,,
混合长条 (1x1+1x2+2x1),8,4,60847,True,0.017107725143432617,91,11.375,20,2,,
混合长条 (1x1+1x2+2x1),8,5,22742,True,0.6023597717285156,125,15.625,26,109,,
混合长条 (1x1+1x2+2x1),8,6,78992,False,0.7946724891662598,-1,-1,-1,190,NoSolution,
混合长条 (1x1+1x2+2x1),8,7,46298,False,0.0077915191650390625,-1,-1,-1,0,NoSolution,
